date,agent_id,model,input_tokens,output_tokens,cost_usd,requests
2026-02-18,AGT-0001,gpt-4.1,9936,5350,0.094,10
2026-02-19,AGT-0001,gpt-4o,7740,4167,0.061,7
2026-02-20,AGT-0001,gpt-4.1,6206,3341,0.0587,6
2026-02-21,AGT-0001,gpt-4.1,2290,1233,0.0217,2
2026-02-22,AGT-0001,gpt-4.1,3641,1960,0.0344,3
2026-02-23,AGT-0001,gpt-4.1,9654,5198,0.0913,9
2026-02-24,AGT-0001,gpt-4o,6241,3361,0.0492,6
2026-02-25,AGT-0001,gpt-4o-mini,6004,3233,0.0028,6
2026-02-26,AGT-0001,gpt-4o,5139,2767,0.0405,5
2026-02-27,AGT-0001,gpt-4o,6869,3699,0.0542,7
2026-02-28,AGT-0001,gpt-4o-mini,3900,2100,0.0018,4
2026-03-01,AGT-0001,gpt-4o,2018,1086,0.0159,2
2026-03-02,AGT-0001,gpt-4.1,5994,3228,0.0567,6
2026-03-03,AGT-0001,gpt-4.1,6437,3466,0.0609,6
2026-03-04,AGT-0001,gpt-4.1,7065,3804,0.0668,7
2026-03-05,AGT-0001,gpt-4.1,11634,6264,0.1101,11
2026-03-06,AGT-0001,gpt-4o,9630,5185,0.0759,9
2026-03-07,AGT-0001,gpt-4o,2876,1548,0.0227,2
2026-03-08,AGT-0001,gpt-4.1,2145,1155,0.0203,2
2026-03-09,AGT-0001,gpt-4.1,5467,2943,0.0517,5
2026-03-10,AGT-0001,gpt-4.1,6200,3338,0.0587,6
2026-03-11,AGT-0001,gpt-4o,10431,5617,0.0822,10
2026-03-12,AGT-0001,gpt-4o-mini,5803,3125,0.0027,5
2026-03-13,AGT-0001,gpt-4.1,6649,3580,0.0629,6
2026-03-14,AGT-0001,gpt-4o,2654,1429,0.0209,2
2026-03-15,AGT-0001,gpt-4o-mini,2527,1360,0.0012,2
2026-03-16,AGT-0001,gpt-4o-mini,10123,5451,0.0048,10
2026-03-17,AGT-0001,gpt-4o,9424,5074,0.0743,9
2026-03-18,AGT-0001,gpt-4o-mini,8139,4382,0.0039,8
2026-03-19,AGT-0001,gpt-4.1,11389,6132,0.1078,11
2026-03-20,AGT-0001,gpt-4o-mini,6047,3256,0.0029,6
2026-03-21,AGT-0001,gpt-4o-mini,2109,1135,0.001,2
2026-03-22,AGT-0001,gpt-4.1,3383,1821,0.032,3
2026-03-23,AGT-0001,gpt-4.1,8195,4412,0.0775,8
2026-03-24,AGT-0001,gpt-4o,6314,3400,0.0498,6
2026-03-25,AGT-0001,gpt-4o,10740,5783,0.0847,11
2026-03-26,AGT-0001,gpt-4o,11470,6176,0.0904,11
2026-03-27,AGT-0001,gpt-4.1,9204,4956,0.0871,9
2026-03-28,AGT-0001,gpt-4.1,2036,1096,0.0193,2
2026-03-29,AGT-0001,gpt-4.1,3553,1913,0.0336,3
2026-03-30,AGT-0001,gpt-4o,10244,5516,0.0808,10
2026-03-31,AGT-0001,gpt-4o-mini,11440,6160,0.0054,11
2026-04-01,AGT-0001,gpt-4.1,10206,5495,0.0966,10
2026-04-02,AGT-0001,gpt-4o,9574,5155,0.0755,9
2026-04-03,AGT-0001,gpt-4o,7464,4019,0.0588,7
2026-04-04,AGT-0001,gpt-4.1,2658,1431,0.0251,2
2026-04-05,AGT-0001,gpt-4o-mini,2240,1206,0.0011,2
2026-04-06,AGT-0001,gpt-4o-mini,7244,3900,0.0034,7
2026-04-07,AGT-0001,gpt-4.1,5391,2903,0.051,5
2026-04-08,AGT-0001,gpt-4o-mini,9282,4998,0.0044,9
2026-04-09,AGT-0001,gpt-4o,8561,4610,0.0675,8
2026-04-10,AGT-0001,gpt-4o,5829,3138,0.046,5
2026-04-11,AGT-0001,gpt-4o-mini,2840,1529,0.0013,2
2026-04-12,AGT-0001,gpt-4.1,4096,2205,0.0387,4
2026-04-13,AGT-0001,gpt-4.1,10353,5575,0.098,10
2026-04-14,AGT-0001,gpt-4o,9872,5315,0.0778,10
2026-04-15,AGT-0001,gpt-4.1,9579,5158,0.0906,9
2026-04-16,AGT-0001,gpt-4.1,9813,5284,0.0928,10
2026-04-17,AGT-0001,gpt-4.1,10973,5908,0.1038,11
2026-04-18,AGT-0001,gpt-4o-mini,3878,2088,0.0018,3
2026-04-19,AGT-0001,gpt-4o-mini,2781,1497,0.0013,2
2026-04-20,AGT-0001,gpt-4o-mini,8254,4444,0.0039,8
2026-04-21,AGT-0001,gpt-4.1,6234,3356,0.059,6
2026-04-22,AGT-0001,gpt-4.1,7146,3848,0.0676,7
2026-04-23,AGT-0001,gpt-4o-mini,6824,3674,0.0032,6
2026-04-24,AGT-0001,gpt-4o-mini,11078,5965,0.0052,11
2026-04-25,AGT-0001,gpt-4o-mini,2423,1305,0.0011,2
2026-04-26,AGT-0001,gpt-4.1,2409,1297,0.0228,2
2026-04-27,AGT-0001,gpt-4o-mini,10446,5624,0.0049,10
2026-04-28,AGT-0001,gpt-4o,7435,4003,0.0586,7
2026-04-29,AGT-0001,gpt-4o-mini,10156,5468,0.0048,10
2026-04-30,AGT-0001,gpt-4o,7514,4046,0.0592,7
2026-05-01,AGT-0001,gpt-4o-mini,10868,5852,0.0051,11
2026-05-02,AGT-0001,gpt-4o-mini,4278,2303,0.002,4
2026-05-03,AGT-0001,gpt-4o-mini,2632,1417,0.0012,2
2026-05-04,AGT-0001,gpt-4o-mini,5413,2915,0.0026,5
2026-05-05,AGT-0001,gpt-4o,10443,5623,0.0823,10
2026-05-06,AGT-0001,gpt-4.1,8480,4566,0.0802,8
2026-05-07,AGT-0001,gpt-4o,10088,5432,0.0795,10
2026-05-08,AGT-0001,gpt-4.1,9072,4885,0.0858,9
2026-05-09,AGT-0001,gpt-4.1,3087,1662,0.0292,3
2026-05-10,AGT-0001,gpt-4o-mini,2290,1233,0.0011,2
2026-05-11,AGT-0001,gpt-4o,9377,5049,0.0739,9
2026-05-12,AGT-0001,gpt-4o,10551,5681,0.0832,10
2026-05-13,AGT-0001,gpt-4o,6181,3328,0.0487,6
2026-05-14,AGT-0001,gpt-4.1,6337,3412,0.06,6
2026-05-15,AGT-0001,gpt-4o,6267,3374,0.0494,6
2026-05-16,AGT-0001,gpt-4.1,3517,1893,0.0333,3
2026-05-17,AGT-0001,gpt-4o-mini,3748,2018,0.0018,3
2026-05-18,AGT-0001,gpt-4o-mini,9145,4924,0.0043,9
2026-05-19,AGT-0001,gpt-4.1,6695,3605,0.0633,6
2026-05-20,AGT-0001,gpt-4o-mini,6461,3479,0.0031,6
2026-05-21,AGT-0001,gpt-4o,5463,2942,0.0431,5
2026-05-22,AGT-0001,gpt-4o,9356,5038,0.0738,9
2026-05-23,AGT-0001,gpt-4o-mini,3242,1746,0.0015,3
2026-05-24,AGT-0001,gpt-4o-mini,2158,1162,0.001,2
2026-05-25,AGT-0001,gpt-4.1,9940,5352,0.094,10
2026-05-26,AGT-0001,gpt-4o-mini,10463,5634,0.0049,10
2026-05-27,AGT-0001,gpt-4o-mini,5380,2896,0.0025,5
2026-05-28,AGT-0001,gpt-4o,6761,3640,0.0533,6
2026-05-29,AGT-0001,gpt-4.1,9879,5319,0.0935,10
2026-05-30,AGT-0001,gpt-4o,2204,1186,0.0174,2
2025-12-02,AGT-0002,gpt-4o,113856,61307,0.8977,116
2025-12-03,AGT-0002,gpt-4o,56657,30507,0.4467,58
2025-12-04,AGT-0002,gpt-4o,85307,45934,0.6726,87
2025-12-05,AGT-0002,gpt-4o-mini,62774,33801,0.0297,64
2025-12-06,AGT-0002,gpt-4o-mini,26591,14318,0.0126,27
2025-12-07,AGT-0002,gpt-4o-mini,45194,24335,0.0214,46
2025-12-08,AGT-0002,gpt-4.1,99786,53731,0.9441,102
2025-12-09,AGT-0002,gpt-4o-mini,99580,53620,0.0471,102
2025-12-10,AGT-0002,gpt-4o-mini,88296,47544,0.0418,90
2025-12-11,AGT-0002,gpt-4o-mini,80452,43320,0.0381,82
2025-12-12,AGT-0002,gpt-4o,78346,42186,0.6177,80
2025-12-13,AGT-0002,gpt-4o,24409,13143,0.1925,25
2025-12-14,AGT-0002,gpt-4o-mini,34610,18636,0.0164,35
2025-12-15,AGT-0002,gpt-4o,72384,38976,0.5707,74
2025-12-16,AGT-0002,gpt-4o-mini,85456,46014,0.0404,87
2025-12-17,AGT-0002,gpt-4.1,79406,42757,0.7513,81
2025-12-18,AGT-0002,gpt-4o-mini,109989,59225,0.052,112
2025-12-19,AGT-0002,gpt-4.1,115911,62414,1.0967,118
2025-12-20,AGT-0002,gpt-4.1,42461,22863,0.4017,43
2025-12-21,AGT-0002,gpt-4.1,40313,21707,0.3814,41
2025-12-22,AGT-0002,gpt-4.1,104908,56489,0.9926,107
2025-12-23,AGT-0002,gpt-4o-mini,90415,48685,0.0428,92
2025-12-24,AGT-0002,gpt-4.1,86236,46435,0.8159,88
2025-12-25,AGT-0002,gpt-4o-mini,100885,54322,0.0477,103
2025-12-26,AGT-0002,gpt-4.1,66832,35986,0.6323,68
2025-12-27,AGT-0002,gpt-4.1,31882,17167,0.3017,32
2025-12-28,AGT-0002,gpt-4o,19973,10754,0.1575,20
2025-12-29,AGT-0002,gpt-4o-mini,115345,62109,0.0546,118
2025-12-30,AGT-0002,gpt-4o,51005,27464,0.4022,52
2025-12-31,AGT-0002,gpt-4.1,116041,62483,1.0979,119
2026-01-01,AGT-0002,gpt-4o,50357,27115,0.397,51
2026-01-02,AGT-0002,gpt-4.1,64218,34579,0.6076,65
2026-01-03,AGT-0002,gpt-4o-mini,20545,11063,0.0097,21
2026-01-04,AGT-0002,gpt-4o-mini,41861,22541,0.0198,42
2026-01-05,AGT-0002,gpt-4o-mini,83950,45203,0.0397,86
2026-01-06,AGT-0002,gpt-4o,111549,60065,0.8795,114
2026-01-07,AGT-0002,gpt-4.1,56195,30259,0.5317,57
2026-01-08,AGT-0002,gpt-4o,73592,39626,0.5802,75
2026-01-09,AGT-0002,gpt-4o-mini,67557,36377,0.032,69
2026-01-10,AGT-0002,gpt-4.1,26620,14333,0.2519,27
2026-01-11,AGT-0002,gpt-4o,41562,22379,0.3277,42
2026-01-12,AGT-0002,gpt-4o-mini,87891,47326,0.0416,90
2026-01-13,AGT-0002,gpt-4o-mini,111014,59776,0.0525,113
2026-01-14,AGT-0002,gpt-4.1,55058,29646,0.5209,56
2026-01-15,AGT-0002,gpt-4o,102695,55297,0.8097,105
2026-01-16,AGT-0002,gpt-4o-mini,82419,44379,0.039,84
2026-01-17,AGT-0002,gpt-4o,38680,20828,0.305,39
2026-01-18,AGT-0002,gpt-4.1,35815,19285,0.3389,36
2026-01-19,AGT-0002,gpt-4o-mini,52407,28219,0.0248,53
2026-01-20,AGT-0002,gpt-4o,75315,40554,0.5938,77
2026-01-21,AGT-0002,gpt-4.1,111279,59919,1.0529,114
2026-01-22,AGT-0002,gpt-4.1,73078,39349,0.6914,74
2026-01-23,AGT-0002,gpt-4o,77643,41808,0.6122,79
2026-01-24,AGT-0002,gpt-4o,43125,23221,0.34,44
2026-01-25,AGT-0002,gpt-4o-mini,39874,21470,0.0189,40
2026-01-26,AGT-0002,gpt-4o-mini,111731,60162,0.0529,114
2026-01-27,AGT-0002,gpt-4.1,101664,54742,0.9619,104
2026-01-28,AGT-0002,gpt-4o-mini,53522,28819,0.0253,54
2026-01-29,AGT-0002,gpt-4o-mini,52661,28355,0.0249,54
2026-01-30,AGT-0002,gpt-4.1,87520,47126,0.8281,89
2026-01-31,AGT-0002,gpt-4o,33343,17954,0.2629,34
2026-02-01,AGT-0002,gpt-4o-mini,24046,12948,0.0114,24
2026-02-02,AGT-0002,gpt-4.1,98613,53099,0.933,101
2026-02-03,AGT-0002,gpt-4o-mini,114552,61682,0.0542,117
2026-02-04,AGT-0002,gpt-4o,88208,47497,0.6955,90
2026-02-05,AGT-0002,gpt-4.1,64702,34839,0.6122,66
2026-02-06,AGT-0002,gpt-4o,102260,55063,0.8063,104
2026-02-07,AGT-0002,gpt-4o,23487,12647,0.1852,24
2026-02-08,AGT-0002,gpt-4o-mini,32637,17573,0.0154,33
2026-02-09,AGT-0002,gpt-4.1,53202,28647,0.5034,54
2026-02-10,AGT-0002,gpt-4.1,67395,36290,0.6377,69
2026-02-11,AGT-0002,gpt-4o-mini,83321,44865,0.0394,85
2026-02-12,AGT-0002,gpt-4o,58597,31552,0.462,60
2026-02-13,AGT-0002,gpt-4o,81930,44116,0.646,84
2026-02-14,AGT-0002,gpt-4o-mini,32956,17745,0.0156,33
2026-02-15,AGT-0002,gpt-4o-mini,35179,18942,0.0166,36
2026-02-16,AGT-0002,gpt-4o-mini,90920,48957,0.043,93
2026-02-17,AGT-0002,gpt-4o,84813,45669,0.6687,86
2026-02-18,AGT-0002,gpt-4.1,54688,29447,0.5174,56
2026-02-19,AGT-0002,gpt-4o-mini,71446,38471,0.0338,73
2026-02-20,AGT-0002,gpt-4o-mini,55883,30091,0.0264,57
2026-02-21,AGT-0002,gpt-4.1,30979,16681,0.2931,31
2026-02-22,AGT-0002,gpt-4.1,29241,15745,0.2767,29
2026-02-23,AGT-0002,gpt-4o-mini,72851,39227,0.0345,74
2026-02-24,AGT-0002,gpt-4.1,51531,27747,0.4876,52
2026-02-25,AGT-0002,gpt-4.1,61185,32946,0.5789,62
2026-02-26,AGT-0002,gpt-4.1,90935,48965,0.8604,93
2026-02-27,AGT-0002,gpt-4.1,91399,49214,0.8648,93
2026-02-28,AGT-0002,gpt-4o,21162,11395,0.1669,21
2026-03-01,AGT-0002,gpt-4.1,25284,13614,0.2392,25
2026-03-02,AGT-0002,gpt-4o-mini,60302,32470,0.0285,61
2026-03-03,AGT-0002,gpt-4o,106679,57443,0.8411,109
2026-03-04,AGT-0002,gpt-4o,99146,53386,0.7817,101
2026-03-05,AGT-0002,gpt-4o,113081,60890,0.8916,115
2026-03-06,AGT-0002,gpt-4.1,107744,58016,1.0194,110
2026-03-07,AGT-0002,gpt-4o-mini,20333,10948,0.0096,20
2026-03-08,AGT-0002,gpt-4.1,41381,22282,0.3915,42
2026-03-09,AGT-0002,gpt-4o,79876,43010,0.6298,81
2026-03-10,AGT-0002,gpt-4o-mini,72009,38774,0.0341,73
2026-03-11,AGT-0002,gpt-4o,85729,46162,0.6759,87
2026-03-12,AGT-0002,gpt-4.1,86289,46463,0.8164,88
2026-03-13,AGT-0002,gpt-4o-mini,86448,46548,0.0409,88
2026-03-14,AGT-0002,gpt-4o,39401,21216,0.3107,40
2026-03-15,AGT-0002,gpt-4o-mini,38473,20716,0.0182,39
2026-03-16,AGT-0002,gpt-4o-mini,51143,27539,0.0242,52
2026-03-17,AGT-0002,gpt-4o-mini,110226,59352,0.0521,113
2026-03-18,AGT-0002,gpt-4o,52814,28438,0.4164,54
2026-03-19,AGT-0002,gpt-4o,53920,29034,0.4251,55
2026-03-20,AGT-0002,gpt-4o-mini,102448,55164,0.0485,105
2026-03-21,AGT-0002,gpt-4.1,27190,14641,0.2573,27
2026-03-22,AGT-0002,gpt-4o,37400,20138,0.2949,38
2026-03-23,AGT-0002,gpt-4o-mini,54352,29266,0.0257,55
2026-03-24,AGT-0002,gpt-4o-mini,67978,36603,0.0322,69
2026-03-25,AGT-0002,gpt-4o,73896,39790,0.5826,75
2026-03-26,AGT-0002,gpt-4o-mini,51189,27563,0.0242,52
2026-03-27,AGT-0002,gpt-4.1,75646,40732,0.7157,77
2026-03-28,AGT-0002,gpt-4o-mini,33507,18042,0.0159,34
2026-03-29,AGT-0002,gpt-4.1,22619,12179,0.214,23
2026-03-30,AGT-0002,gpt-4o-mini,82179,44250,0.0389,84
2026-03-31,AGT-0002,gpt-4o,85300,45931,0.6726,87
2026-04-01,AGT-0002,gpt-4.1,63157,34007,0.5976,64
2026-04-02,AGT-0002,gpt-4o-mini,87239,46975,0.0413,89
2026-04-03,AGT-0002,gpt-4o,51350,27650,0.4049,52
2026-04-04,AGT-0002,gpt-4.1,44522,23973,0.4212,45
2026-04-05,AGT-0002,gpt-4.1,28848,15534,0.273,29
2026-04-06,AGT-0002,gpt-4o,99466,53558,0.7842,102
2026-04-07,AGT-0002,gpt-4.1,73001,39308,0.6907,74
2026-04-08,AGT-0002,gpt-4.1,73573,39616,0.6961,75
2026-04-09,AGT-0002,gpt-4o-mini,65641,35345,0.0311,67
2026-04-10,AGT-0002,gpt-4o,68282,36767,0.5384,70
2026-04-11,AGT-0002,gpt-4.1,36629,19723,0.3466,37
2026-04-12,AGT-0002,gpt-4o,43674,23516,0.3443,44
2026-04-13,AGT-0002,gpt-4.1,112761,60717,1.0669,115
2026-04-14,AGT-0002,gpt-4.1,64934,34964,0.6144,66
2026-04-15,AGT-0002,gpt-4o-mini,109635,59034,0.0519,112
2026-04-16,AGT-0002,gpt-4o-mini,59056,31799,0.0279,60
2026-04-17,AGT-0002,gpt-4o-mini,75359,40578,0.0357,77
2026-04-18,AGT-0002,gpt-4o-mini,36273,19532,0.0172,37
2026-04-19,AGT-0002,gpt-4.1,38245,20593,0.3619,39
2026-04-20,AGT-0002,gpt-4o,65918,35494,0.5197,67
2026-04-21,AGT-0002,gpt-4.1,78305,42164,0.7409,80
2026-04-22,AGT-0002,gpt-4.1,110471,59484,1.0452,113
2026-04-23,AGT-0002,gpt-4o,79816,42978,0.6293,81
2026-04-24,AGT-0002,gpt-4o,63681,34290,0.5021,65
2026-04-25,AGT-0002,gpt-4o-mini,35437,19081,0.0168,36
2026-04-26,AGT-0002,gpt-4o,41269,22222,0.3254,42
2026-04-27,AGT-0002,gpt-4o-mini,70486,37954,0.0333,72
2026-04-28,AGT-0002,gpt-4o,109733,59087,0.8652,112
2026-04-29,AGT-0002,gpt-4o,78545,42293,0.6193,80
2026-04-30,AGT-0002,gpt-4o-mini,93598,50399,0.0443,95
2026-05-01,AGT-0002,gpt-4.1,110962,59749,1.0499,113
2026-05-02,AGT-0002,gpt-4o-mini,21773,11724,0.0103,22
2026-05-03,AGT-0002,gpt-4o,45223,24351,0.3566,46
2026-05-04,AGT-0002,gpt-4o,62176,33479,0.4902,63
2026-05-05,AGT-0002,gpt-4.1,98314,52938,0.9302,100
2026-05-06,AGT-0002,gpt-4.1,108501,58423,1.0266,111
2026-05-07,AGT-0002,gpt-4.1,113897,61329,1.0776,116
2026-05-08,AGT-0002,gpt-4o-mini,79406,42757,0.0376,81
2026-05-09,AGT-0002,gpt-4.1,44814,24131,0.424,45
2026-05-10,AGT-0002,gpt-4o,24013,12930,0.1893,24
2026-05-11,AGT-0002,gpt-4o,57026,30706,0.4496,58
2026-05-12,AGT-0002,gpt-4o-mini,51663,27818,0.0244,52
2026-05-13,AGT-0002,gpt-4o-mini,90983,48991,0.043,93
2026-05-14,AGT-0002,gpt-4o,87662,47202,0.6912,89
2026-05-15,AGT-0002,gpt-4o,89613,48253,0.7066,91
2026-05-16,AGT-0002,gpt-4.1,38268,20606,0.3621,39
2026-05-17,AGT-0002,gpt-4.1,22083,11891,0.2089,22
2026-05-18,AGT-0002,gpt-4o-mini,58844,31685,0.0278,60
2026-05-19,AGT-0002,gpt-4o-mini,81120,43680,0.0384,83
2026-05-20,AGT-0002,gpt-4.1,74810,40282,0.7078,76
2026-05-21,AGT-0002,gpt-4o,82630,44493,0.6515,84
2026-05-22,AGT-0002,gpt-4o,60821,32750,0.4796,62
2026-05-23,AGT-0002,gpt-4o,20826,11214,0.1642,21
2026-05-24,AGT-0002,gpt-4.1,44606,24019,0.422,45
2026-05-25,AGT-0002,gpt-4o-mini,64733,34856,0.0306,66
2026-05-26,AGT-0002,gpt-4o,115697,62298,0.9122,118
2026-05-27,AGT-0002,gpt-4.1,54322,29250,0.514,55
2026-05-28,AGT-0002,gpt-4.1,107636,57957,1.0184,110
2026-05-29,AGT-0002,gpt-4.1,95704,51532,0.9055,98
2026-05-30,AGT-0002,gpt-4.1,43599,23476,0.4125,44
2025-12-02,AGT-0003,llama-3.1-8b,900,485,0.0003,0
2025-12-03,AGT-0003,mistral-large,1059,570,0.0055,1
2025-12-04,AGT-0003,mistral-large,1146,617,0.006,1
2025-12-05,AGT-0003,gemini-1.5-pro,1061,571,0.0097,1
2025-12-06,AGT-0003,gemini-1.5-pro,412,222,0.0038,0
2025-12-07,AGT-0003,gemini-1.5-pro,397,214,0.0036,0
2025-12-08,AGT-0003,gemini-1.5-pro,1198,645,0.011,1
2025-12-09,AGT-0003,mistral-large,670,360,0.0035,0
2025-12-10,AGT-0003,llama-3.1-8b,1230,662,0.0004,1
2025-12-11,AGT-0003,llama-3.1-8b,1269,683,0.0004,1
2025-12-12,AGT-0003,mistral-large,989,532,0.0052,1
2025-12-13,AGT-0003,llama-3.1-8b,540,291,0.0002,0
2025-12-14,AGT-0003,gemini-1.5-pro,408,219,0.0037,0
2025-12-15,AGT-0003,llama-3.1-8b,1181,636,0.0004,1
2025-12-16,AGT-0003,mistral-large,733,394,0.0038,0
2025-12-17,AGT-0003,mistral-large,895,482,0.0047,0
2025-12-18,AGT-0003,mistral-large,1188,639,0.0062,1
2025-12-19,AGT-0003,mistral-large,944,508,0.0049,0
2025-12-20,AGT-0003,llama-3.1-8b,325,175,0.0001,0
2025-12-21,AGT-0003,llama-3.1-8b,449,241,0.0001,0
2025-12-22,AGT-0003,gemini-1.5-pro,946,509,0.0087,0
2025-12-23,AGT-0003,gemini-1.5-pro,937,504,0.0086,0
2025-12-24,AGT-0003,llama-3.1-8b,975,525,0.0003,1
2025-12-25,AGT-0003,gemini-1.5-pro,1192,642,0.0109,1
2025-12-26,AGT-0003,mistral-large,1011,544,0.0053,1
2025-12-27,AGT-0003,mistral-large,363,195,0.0019,0
2025-12-28,AGT-0003,mistral-large,241,130,0.0013,0
2025-12-29,AGT-0003,gemini-1.5-pro,1045,562,0.0096,1
2025-12-30,AGT-0003,mistral-large,1283,691,0.0067,1
2025-12-31,AGT-0003,mistral-large,655,352,0.0034,0
2026-01-01,AGT-0003,gemini-1.5-pro,1124,605,0.0103,1
2026-01-02,AGT-0003,gemini-1.5-pro,1206,649,0.011,1
2026-01-03,AGT-0003,llama-3.1-8b,462,249,0.0001,0
2026-01-04,AGT-0003,mistral-large,269,145,0.0014,0
2026-01-05,AGT-0003,llama-3.1-8b,1079,581,0.0003,1
2026-01-06,AGT-0003,mistral-large,993,535,0.0052,1
